"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_ISW_Tree",3.23300757002914,0.392092243649323,3.12432514496978,3.34168999508849
400,"SPO_Wrong_ISW_Tree",3.27140705727619,0.355563810238591,3.17284979738141,3.36996431717097
600,"SPO_Correct_ISW_Tree",3.21183489973967,0.367006741351984,3.11010582116362,3.31356397831573
600,"SPO_Wrong_ISW_Tree",3.305224967794,0.380739432634395,3.19968938139909,3.41076055418891
800,"SPO_Correct_ISW_Tree",3.22755288679217,0.321952779332704,3.13831212934487,3.31679364423947
800,"SPO_Wrong_ISW_Tree",3.2680357890708,0.293105197263016,3.1867911734172,3.34928040472439
1000,"SPO_Correct_ISW_Tree",3.22134872112056,0.318317599855257,3.13311558401652,3.3095818582246
1000,"SPO_Wrong_ISW_Tree",3.26963481290754,0.278391547981213,3.19246861275775,3.34680101305733
1200,"SPO_Correct_ISW_Tree",3.26301094680462,0.313975730709683,3.175981314426,3.35004057918325
1200,"SPO_Wrong_ISW_Tree",3.29528019062419,0.300270261394137,3.21204952052017,3.37851086072821
1400,"SPO_Correct_ISW_Tree",3.28742148925646,0.278185648113677,3.21031236163815,3.36453061687476
1400,"SPO_Wrong_ISW_Tree",3.27005280490748,0.253885339561736,3.19967937917029,3.34042623064468
1600,"SPO_Correct_ISW_Tree",3.28794078876367,0.303453083894406,3.20382788527334,3.37205369225401
1600,"SPO_Wrong_ISW_Tree",3.22144060507038,0.219571586388281,3.16057846645549,3.28230274368527
